project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
quadratic-funding-pallet,DELIVERED,3,2,quadratic-funding.md,,,4.0,3.0,12.0,8,0.12,verify-frag?,https://github.com/zhangjiannan/QFgrant,2.00,cutoff,1.4112
scale-codec-comparator,DELIVERED,3,3,scale-codec-comparator.md,,,1.0,3.5,3.5,12,1.97,,https://github.com/gmajor-encrypt/scale-codec-comparator,,cutoff,6.908
social_recivery_wallet,DELIVERED,3,0,,,,,,,,,,https://github.com/hypha-dao/hashed-wallet,,cutoff,34.595
societal,DELIVERED,3,1,Societal.md,,,3.0,4.0,12.0,3,0.05,verify-frag?,https://github.com/sctllabs/societal-front-end,12.00,cutoff,0.5465
spartan_poc_consensus_module,DELIVERED,3,4,spartan_poc_consensus_module.md,,,2.0,2.76,5.52,4,0.18,,https://github.com/subspace/spartan-codec,,cutoff,1.0
subalfred,DELIVERED,3,3,subalfred.md,,,1.0,1.84,1.84,6,2.52,,https://github.com/hack-ink/subalfred,,cutoff,4.632
tuxedo,DELIVERED,3,2,tuxedo.md,,,1.5,2.07,3.1,3,,,https://github.com/Off-Narrative-Labs/Tuxedo,,cutoff,
WeTEE,DELIVERED,3,2,WeTEE_Network.md,,,2.0,3.5,7.0,3,,,https://github.com/wetee-dao/chain,7.00,cutoff,
whiteflag-on-fennel-protocol,DELIVERED,3,3,Whiteflag-on-Fennel.md,,,2.0,3.0,6.0,8,,,https://github.com/fennelLabs/Fennel-Protocol,9.00,cutoff,
xcm-tools,DELIVERED,3,2,xcm-tools.md,,,1.0,4.5,4.5,9,,,https://github.com/gmajor-encrypt/xcm-tools,,cutoff,
xcm-tools-follow-up,DELIVERED,3,2,xcm-tools-follow-up.md,,,1.0,1.15,1.15,5,,,https://github.com/gmajor-encrypt/xcm-tools,,cutoff,
yatima,DELIVERED,3,3,yatima.md,,,4.0,3.0,12.0,14,,,https://github.com/yatima-inc/yatima,12.00,head,
Aisland-DocSig,DELIVERED,2,2,Aisland-DocSig.md,,,1.5,2.0,3.0,4,0.75,,https://github.com/aisland-dao/docsig,3.00,cutoff,2.2597
anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,DELIVERED,2,2,anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators.md,,,2.0,2.0,4.0,3,,,https://github.com/anagolay/anagolay-chain,,,
BandersnatchVRF,DELIVERED,2,1,BandersnatchVRF.md,,,1.0,,,3,,,https://github.com/Esscrypt/bandersnatch-vrf,,cutoff,2.3628
centrifuge-gsrpc-v2,DELIVERED,2,1,centrifuge-gsrpc-v2.md,,,1.0,,,5,,,https://github.com/centrifuge/go-substrate-rpc-client,,cutoff,29.4571
Cere_Turnkey_Private_Blockchain_Network,DELIVERED,2,0,Cere_Turnkey_Private_Blockchain_Network.md,,,,2.07,,2,,,https://github.com/Cerebellum-Network/private-standalone-network-node,,cutoff,0.9559
Cogency,DELIVERED,2,2,,,,,,,,,,https://github.com/CogencyWeb3/Web3MediaPilot,,cutoff,
Contract_wizard,DELIVERED,2,1,Contract_wizard.md,,,2.5,3.0,7.5,7,1.92,,https://github.com/protofire/polkadot-contract-wizard,7.50,cutoff,14.416
CoongWallet,DELIVERED,2,1,coong_wallet.md,,,1.5,5.0,7.5,4,1.35,,https://github.com/CoongCrafts/coong-wallet,7.50,cutoff,10.112
Dante_Network,DELIVERED,2,2,Dante_Network.md,,,3.0,6.0,18.0,4,0.07,verify-frag?,https://github.com/dantenetwork/protocol-stack-for-ink,18.00,cutoff,1.246
daos,DELIVERED,2,1,daos.md,,,6.0,2.0,12.0,3,0.32,,https://github.com/daos-org/daos,12.00,cutoff,3.8614
Deitos_Network,DELIVERED,2,2,Deitos_Network.md,,,3.0,2.76,8.28,3,0.03,verify-frag?,https://github.com/Deitos-Network/deitos-ip,,cutoff,0.285
delightfuldot,DELIVERED,2,1,delightfuldot.md,,,2.0,4.5,9.0,5,1.18,,https://github.com/CoongCrafts/delightfuldot,9.00,cutoff,10.603
DIA_Bridgestate,DELIVERED,2,2,,,,,,,,,,https://github.com/diadata-org/bridgestate-ocw,,cutoff,1.6835
dotflow,DELIVERED,2,2,Dotflow.md,,,1.5,,,6,,,https://github.com/TheDotflow/dotflow-ink,,cutoff,1.365
dotnix,DELIVERED,2,2,dotnix.md,,,1.0,2.0,2.0,8,,,https://github.com/sporyon/dotnix-core,,cutoff,
dotnix_followup,DELIVERED,2,2,dotnix-follow-up.md,,,2.0,,,11,,,https://github.com/sporyon/dotnix-core,,commit,
dotpulse,DELIVERED,2,2,DotPulse.md,,,3.0,1.84,5.52,7,0.15,,https://github.com/CrossChainLabs-DOT/dotpulse-api,,cutoff,0.844
eightfish,DELIVERED,2,1,eightfish.md,,,2.0,2.0,4.0,8,1.06,,https://github.com/eightfish-org/eightfish,4.00,cutoff,4.2234
