project_id,ksloc,pm_actual,E,SF_PREC,SF_FLEX,SF_RESL,SF_TEAM,SF_PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED,BC_BEM,BC_DC,BC_EM_GAS,BC_EM_AUD,BC_EM_MC,BC_EM_REG,BC_EM_NODE,pm_pred
SEOR-code-less-smart-contract-platform,5.01,0.8982,1.0997,N,N,N,N,N,N,N,H,N,N,H,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,2.827
sequester,0.829,0.2714,1.1294,N,N,L,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.2,1.0,1.0,0.342
signac,2.327,0.823,1.0997,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.818
skyekiwi-protocol,1.688,0.5605,1.0841,N,N,N,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,0.759
skynet-substrate-integration,1.457,0.3464,1.1121,L,N,N,N,N,N,N,VH,N,H,N,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.731
societal-grant,26.858,1.4125,1.07,N,N,H,N,H,N,N,H,N,H,H,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.05,1.0,1.2,1.0,1.1,24.863
sol2ink,9.65,0.6418,1.0856,N,N,H,N,N,N,N,H,N,H,H,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,5.732
Solang_Playground,70.13,0.2771,1.07,N,N,H,N,H,N,N,H,N,H,H,N,N,N,N,N,N,N,N,H,N,N,1.0,1.0,1.05,1.0,1.2,1.0,1.0,49.897
solidity-trie-verifier,2.546,0.1575,1.0965,L,N,N,N,H,N,N,VH,N,N,H,N,N,N,N,N,N,N,N,H,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.266
spacewalk,24.646,0.6615,1.0824,L,N,H,N,H,N,N,VH,N,H,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.2,1.0,1.1,23.189
