network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1622,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1621,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1620,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1619,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1618,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1617,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1616,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1615,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1614,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1613,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1612,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1611,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1610,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1609,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1608,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1607,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1606,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1605,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1604,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1603,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1602,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1601,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1600,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1599,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1598,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1597,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1596,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1595,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1594,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1593,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1592,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1591,,,,,,,,,,,,NO_DETAIL
